show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_num,primary_country,primary_genre,Cluster
0,0,1975,2295,7246,603,1713,2020,7,210,274,2577,90.0,79,10,0
1111,1,1091,4303,409,426,1712,2021,11,110,414,1762,2.0,66,16,2
2222,1,2651,2105,6296,736,1712,2021,11,0,242,7341,1.0,80,8,2
3333,1,3506,4303,7246,736,1712,2021,11,0,297,3617,1.0,80,11,2
4444,1,3861,4303,4815,251,1712,2021,11,110,393,4416,2.0,29,16,2
5555,1,4574,2866,3781,736,1712,2021,11,0,499,6468,1.0,80,31,1
6666,0,4879,3542,7267,736,1712,2021,6,211,121,3458,91.0,80,4,0
7777,0,6062,1504,4033,663,1712,1993,11,32,319,5520,125.0,79,12,2
8696,1,7216,299,4843,506,1712,2021,9,208,114,1158,9.0,78,3,0
1,0,7767,4157,4853,603,1712,2021,7,7,197,1338,104.0,79,7,3
112,1,8358,4303,7246,736,1712,2021,11,0,235,6083,1.0,80,8,2
223,1,794,2301,6824,736,1711,2021,11,0,242,6268,1.0,80,8,2
334,0,3529,792,4458,218,1711,2021,11,34,326,1939,127.0,22,12,2
445,0,1660,628,4027,736,1710,2021,12,211,125,8360,91.0,80,4,0
556,1,1729,4303,7246,736,1710,2021,11,0,96,2925,1.0,80,3,2
667,1,1888,4303,4338,603,1710,2021,11,151,488,6277,4.0,79,30,1
778,0,2288,3230,7246,736,1710,2020,11,182,281,3184,67.0,80,10,0
889,1,2358,4303,4420,342,1710,2020,11,110,253,6253,2.0,44,8,2
1000,0,3419,53,2338,736,1710,2021,9,214,513,1588,94.0,80,35,1
1112,1,3502,4303,1015,736,1710,2021,11,0,398,4616,1.0,80,16,2
1223,1,4720,3105,7246,736,1710,2021,9,0,235,4657,1.0,80,8,3
1334,1,5829,4303,2110,492,1710,2018,9,162,405,7896,5.0,75,16,0
1445,0,692,2150,3690,736,1709,1996,12,74,217,5444,161.0,80,7,2
1556,0,2755,170,4538,736,1709,2021,13,176,121,3940,61.0,80,4,0
1667,0,3531,3653,5706,251,1709,1998,9,79,220,8366,166.0,29,7,3
1778,1,4239,4303,1115,15,1709,2021,9,110,293,3656,2.0,1,11,3
1889,0,4621,3397,762,736,1709,1997,12,57,219,1168,147.0,80,7,2
2000,0,2859,1058,103,603,1708,2010,7,6,185,5380,103.0,79,7,3
2111,0,1831,3791,3917,603,1707,2013,7,217,357,404,97.0,79,13,0
2223,0,5377,3549,4275,673,1707,2013,7,9,513,2829,106.0,79,35,1
2334,0,585,406,71,736,1706,2021,9,16,319,2557,111.0,80,12,3
2445,1,1487,4303,4170,736,1706,2021,11,0,487,2980,1.0,80,30,1
2556,1,6220,4303,769,506,1706,2020,11,138,108,4936,3.0,78,3,0
2667,1,6515,4303,4207,736,1706,2021,11,0,416,4251,1.0,80,16,2
2778,1,6763,4303,1582,736,1706,2020,14,0,422,6333,1.0,80,17,2
2889,0,7138,928,154,736,1706,2021,11,15,332,8276,110.0,80,12,2
3000,0,7776,870,2440,736,1706,2021,11,8,39,7286,105.0,80,0,2
3111,1,571,4303,699,156,1705,2018,14,0,433,2827,1.0,19,17,2
3222,0,1032,1414,999,106,1705,2017,7,216,36,1384,96.0,12,0,0
3334,1,1459,4303,7281,251,1705,2021,14,138,422,144,3.0,29,17,2
3445,1,2997,4303,7606,603,1705,2021,14,0,439,5342,1.0,79,17,2
3556,0,3524,4020,6146,603,1705,1975,6,31,17,8122,124.0,79,0,3
3667,0,3525,1816,6145,603,1705,1978,6,21,317,3867,116.0,79,12,3
3778,0,3526,1908,1796,603,1705,1983,6,218,48,2038,98.0,79,0,0
3889,0,3527,2059,4361,603,1705,1987,7,211,48,1718,91.0,79,0,0
4000,0,4864,4285,7246,736,1705,2021,6,126,274,5901,23.0,80,10,3
4111,0,6019,908,1808,433,1705,2012,8,20,0,8734,115.0,66,0,3
4222,1,7738,638,5473,736,1705,2020,11,0,393,3679,1.0,80,16,2
4333,0,8107,349,1803,603,1705,2001,8,29,344,985,122.0,79,12,3
4445,1,1375,4303,5969,368,1704,2021,11,110,412,852,2.0,49,16,2
4556,1,1961,4303,3756,251,1704,2014,12,0,415,2018,1.0,29,16,2
4667,0,3422,4258,3719,319,1704,2002,9,219,5,8649,99.0,36,0,0
4778,0,3423,4258,3713,319,1704,2003,9,219,5,6407,99.0,36,0,0
4889,0,3424,4258,3715,319,1704,2004,12,206,5,2103,88.0,36,0,0
5000,0,3425,4258,3714,319,1704,2001,12,3,5,904,100.0,36,0,2
5111,1,4959,4303,5332,603,1704,2021,12,174,446,4207,6.0,79,21,1
5222,0,4981,2685,3647,319,1704,2011,9,5,5,5355,102.0,36,0,3
5333,0,4984,1506,3646,319,1704,2008,12,213,5,8332,93.0,36,0,0
5444,0,4985,2685,3644,319,1704,2009,12,216,5,8168,96.0,36,0,0
5556,0,4982,1506,3650,319,1704,2007,12,215,5,6464,95.0,36,0,0
5667,0,4983,2685,3648,319,1704,2010,9,203,5,7771,85.0,36,0,0
5778,0,4986,1593,3651,319,1704,2005,12,217,5,8491,97.0,36,0,0
5889,0,4987,4260,3649,319,1704,2006,12,215,5,3538,95.0,36,0,0
6000,0,4988,4142,3652,319,1704,2004,12,201,5,5405,83.0,36,0,0
6111,0,5057,1029,7498,736,1704,2021,12,6,121,5937,103.0,80,4,2
6222,1,5122,4303,950,506,1704,2021,13,174,422,4460,6.0,78,17,2
6333,1,5722,4303,7246,251,1704,2014,10,0,292,3520,1.0,29,11,2
6444,1,6101,4303,4691,603,1704,1994,12,208,433,3979,9.0,79,17,0
6555,0,6124,1527,4931,736,1704,2021,9,18,284,7251,113.0,80,10,3
6667,1,6567,4303,7246,251,1704,2015,12,0,412,6733,1.0,29,16,2
6778,1,8068,4303,2860,736,1704,2021,11,0,386,5586,1.0,80,16,2
6889,0,243,959,2191,736,1703,2021,13,38,121,5069,13.0,80,4,2
7000,1,3490,4303,2907,506,1703,2021,11,162,100,5082,5.0,78,3,0
7111,0,3813,2219,6678,368,1703,2018,11,97,326,7979,182.0,49,12,2
7222,1,7910,4303,7246,736,1703,2021,12,110,446,8570,2.0,80,21,1
7333,0,8723,498,880,736,1703,2021,10,9,121,1643,106.0,80,4,3
7444,1,8740,4303,1563,319,1703,2013,9,0,80,1231,1.0,36,2,3
7555,0,4117,3321,6831,736,1702,2021,14,160,125,5119,48.0,80,4,2
7666,0,8195,1050,7330,736,1702,2020,9,55,200,161,145.0,80,7,3
7778,0,8196,1050,7330,736,1702,2021,9,55,200,161,145.0,80,7,3
7889,0,2450,4239,7029,736,1701,2021,14,213,121,8256,93.0,80,4,0
8000,0,3724,690,4730,603,1701,2021,8,9,0,6131,106.0,79,0,3
8111,1,4266,4303,7102,603,1701,2021,9,174,260,2846,6.0,79,8,0
8222,1,4550,4303,3333,736,1701,2021,11,0,446,5581,1.0,80,21,2
8333,0,5197,1686,2348,368,1701,2020,11,57,22,7459,147.0,49,0,2
8444,1,5514,4303,2797,736,1701,2021,14,0,86,2502,1.0,80,2,2
8555,0,5595,4168,1722,736,1701,2021,11,205,375,618,87.0,80,15,0
8666,1,8024,4303,3204,736,1701,2019,13,110,423,7287,2.0,80,17,2
8685,0,1092,2596,4553,736,1700,2021,7,216,289,3929,96.0,80,10,0
8697,1,4588,4303,3617,736,1700,2017,14,151,422,2855,4.0,80,17,2
8708,0,5373,200,2086,469,1700,2019,11,215,467,7599,95.0,69,24,1
8719,0,7903,2912,7246,162,1700,2021,9,212,281,6959,92.0,20,10,0
8730,1,3416,4303,5610,38,1699,2021,11,110,414,5661,2.0,5,16,2
8741,0,3478,179,2042,736,1699,2021,11,211,329,3424,91.0,80,12,0
8752,0,6295,3383,7453,589,1699,2018,6,210,125,987,90.0,78,4,0
8763,1,7003,4303,4951,718,1699,2021,11,138,446,6221,3.0,79,21,1
8774,0,3316,3988,6114,603,1698,2018,11,217,288,7650,97.0,79,10,0
8785,1,3783,4303,2892,603,1698,2021,14,110,435,139,2.0,79,17,2
8796,1,5149,4303,680,506,1698,2021,13,0,110,6428,1.0,78,3,2
2,1,5204,4303,3611,206,1698,2021,11,0,488,3866,1.0,20,30,1
13,1,8040,4303,821,736,1698,2019,14,110,422,2384,2.0,80,17,2
24,0,8311,710,7246,603,1698,2021,11,198,289,7616,80.0,79,10,0
35,1,1691,1763,7246,736,1697,2021,9,0,300,4007,1.0,80,11,3
46,0,6233,4465,3277,736,1697,2020,11,22,332,393,117.0,80,12,2
57,1,6764,4303,6076,435,1697,2016,13,110,423,2618,2.0,67,17,2
68,0,561,2429,696,251,1696,2017,9,35,22,1821,128.0,29,0,3
79,1,1265,4303,5648,603,1696,2021,10,162,433,6437,5.0,79,17,0
90,0,155,1032,4578,603,1695,2018,3,210,138,7901,90.0,79,4,3
101,1,2010,4303,814,15,1694,2021,10,0,438,5574,1.0,1,17,2
113,1,3947,4303,7686,444,1694,2021,11,162,241,3411,5.0,69,8,0
124,1,4687,2483,7246,736,1694,2021,11,0,295,6546,1.0,80,11,2
135,1,6247,4303,4278,705,1694,2021,13,0,422,4098,1.0,79,17,2
