content_length_category,content_age,decade,genre_count
Medium,6,2020s,1
Medium,5,2020s,1
Long,33,1990s,3
Medium,5,2020s,2
Long,5,2020s,2
Medium,5,2020s,2
Medium,6,2020s,2
Medium,5,2020s,1
Long,30,1990s,2
Medium,5,2020s,1
Long,28,1990s,3
Long,29,1990s,3
Medium,16,2010s,1
Medium,13,2010s,2
Medium,13,2010s,1
Medium,5,2020s,3
Medium,5,2020s,3
Medium,5,2020s,3
Medium,9,2010s,2
Long,51,1970s,3
Medium,48,1970s,3
Medium,43,1980s,3
Medium,39,1980s,3
Short,5,2020s,1
Medium,14,2010s,1
Long,25,2000s,2
Medium,24,2000s,3
Medium,23,2000s,3
Medium,22,2000s,3
Medium,25,2000s,3
Medium,15,2010s,3
Medium,18,2000s,3
Medium,17,2000s,3
Medium,19,2000s,3
Medium,16,2010s,3
Medium,21,2000s,3
Medium,20,2000s,3
Medium,22,2000s,3
Medium,5,2020s,1
Medium,5,2020s,3
Short,5,2020s,1
Long,8,2010s,2
Medium,5,2020s,1
Short,5,2020s,2
Long,6,2020s,3
Long,5,2020s,3
Medium,5,2020s,1
Medium,5,2020s,1
Long,6,2020s,3
Medium,5,2020s,2
Medium,5,2020s,2
Medium,7,2010s,2
Medium,5,2020s,2
Medium,5,2020s,3
Medium,8,2010s,2
Medium,8,2010s,2
Medium,5,2020s,2
Medium,6,2020s,3
Long,9,2010s,3
Medium,8,2010s,2
Medium,5,2020s,1
Medium,5,2020s,2
Long,32,1990s,3
Medium,17,2000s,2
Medium,11,2010s,3
Medium,5,2020s,1
Medium,9,2010s,3
Medium,6,2020s,3
Medium,23,2000s,1
Medium,6,2020s,3
Medium,22,2000s,2
Medium,9,2010s,3
Medium,21,2000s,1
Medium,5,2020s,2
Medium,44,1980s,3
Long,11,2010s,2
Long,32,1990s,2
Medium,33,1990s,1
Long,23,2000s,2
Medium,25,2000s,2
Medium,16,2010s,2
Medium,37,1980s,3
Medium,12,2010s,3
Medium,11,2010s,1
Long,19,2000s,1
